PWM_Strength,Voltage,Weight1(g)
0.0,10.05,-1.77
1.0,10.03,-1.83
2.0,10.03,-1.89
3.0,10.05,-1.94
4.0,10.03,-2.01
5.0,10.03,-2.12
6.0,10.01,-2.31
7.0,10.03,-2.84
8.0,10.03,-3.33
9.0,10.03,-4.07
10.0,10.03,-6.25
11.0,10.03,-8.72
12.0,10.01,-7.71
13.0,10.05,-8.43
14.0,10.05,-9.78
15.0,10.01,-10.8
16.0,10.03,-12.06
17.0,10.01,-13.69
18.0,9.97,-15.42
19.0,10.01,-16.93
20.0,9.97,-18.36
21.0,10.03,-20.01
22.0,10.03,-21.9
23.0,9.95,-24.05
24.0,9.93,-25.58
25.0,10.05,-27.44
26.0,9.91,-29.82
27.0,10.03,-35.36
28.0,10.05,-38.78
29.0,10.07,-36.72
30.0,10.01,-38.15
31.0,9.89,-41.03
32.0,10.05,-43.77
33.0,9.87,-46.1
34.0,9.99,-48.32
35.0,9.91,-51.39
36.0,9.97,-53.9
37.0,9.81,-57.99
38.0,9.99,-60.33
39.0,9.95,-63.49
40.0,10.11,-66.68
41.0,10.15,-69.73
42.0,9.78,-75.55
43.0,9.78,-77.74
44.0,9.7,-78.9
45.0,9.93,-81.77
46.0,9.72,-85.24
47.0,9.91,-87.97
48.0,10.01,-91.61
49.0,9.74,-95.4
50.0,9.66,-98.55
51.0,9.74,-101.08
52.0,10.03,-104.06
53.0,10.15,-106.77
54.0,9.54,-110.95
55.0,9.6,-120.15
56.0,10.24,-120.43
57.0,9.87,-122.26
58.0,9.99,-126.86
59.0,9.54,-130.51
60.0,9.95,-134.27
61.0,10.01,-138.03
62.0,9.91,-141.65
63.0,9.68,-145.35
64.0,9.95,-148.74
65.0,10.01,-152.44
66.0,9.29,-160.59
67.0,10.24,-161.1
68.0,9.99,-162.21
69.0,9.4,-166.32
70.0,9.78,-170.61
71.0,9.99,-174.09
72.0,10.21,-178.0
73.0,9.36,-182.03
74.0,10.17,-186.99
75.0,9.38,-190.62
76.0,9.09,-194.91
77.0,9.54,-198.16
78.0,10.36,-205.67
79.0,10.09,-205.94
80.0,10.3,-209.27
81.0,10.75,-213.88
82.0,10.11,-219.02
83.0,9.95,-223.64
84.0,9.07,-228.49
85.0,9.13,-232.06
86.0,9.17,-235.19
87.0,10.42,-244.56
88.0,9.7,-244.9
89.0,9.33,-245.56
90.0,8.74,-249.24
91.0,10.13,-253.41
92.0,8.76,-256.68
93.0,9.85,-260.99
94.0,8.99,-265.5
95.0,9.5,-268.78
96.0,10.09,-272.47
97.0,8.9,-280.68
98.0,10.42,-280.68
99.0,8.9,-284.61
100.0,9.91,-288.22
101.0,9.76,-291.82
102.0,8.68,-295.22
103.0,9.05,-298.11
104.0,9.62,-301.11
105.0,10.3,-305.16
106.0,10.28,-308.94
107.0,9.31,-313.81
108.0,9.25,-315.15
109.0,9.52,-318.78
110.0,9.01,-322.19
111.0,9.78,-323.1
112.0,8.47,-327.3
113.0,9.64,-330.89
114.0,9.48,-334.92
115.0,9.33,-337.17
116.0,10.19,-342.86
117.0,9.62,-344.49
118.0,8.31,-349.56
119.0,8.88,-351.48
0.0,9.7,-352.94
1.0,10.03,-122.79
2.0,10.03,4.14
